key,match,dist
criticality,translation.value,1.1416128
prefix,prefix.@value,0.97292536
expression,translation.value,1.0600942
valueUrl,reference.value,1.3181317
short,given.qualifier,1.1583267
orderMeaning,translation.value,1.0702231
category,family.qualifier,1.0622631
lifecycleStatus,period.value,1.3030999
requirements,family.qualifier,1.123106
value,translation.value,0.59182703
referencePolicy,reference.value,0.99925226
abstract,text.representation,1.102866
searchRevInclude,translation.displayName,2.055327
display,text.representation,1.0702608
map,text.representation,1.3128909
valueCanonical,reference.value,0.7106512
text,text.representation,0.465661
valueDateTime,effectiveTime.value,1.0027062
chain,family.qualifier,1.2482005
linkId,paragraph.ID,0.93691283
mustSupport,given.qualifier,1.3879392
human,family.qualifier,1.1654904
onsetDateTime,birthTime.type,1.4702846
valueSet,given.@value,1.0635759
onset,translation.type,1.3615935
fixedUri,reference.value,1.5460039
reference,reference.value,0.97292536
experimental,family.qualifier,1.132308
manufactureDate,translation.type,1.2954062
system,family.qualifier,1.068238
isModifierReason,given.qualifier,1.0310827
exampleCanonical,translation.type,1.0687648
isSummary,text.representation,1.0921538
code,translation.code,0.5918271
gender,family.qualifier,1.1759076
baseDefinition,reference.value,1.1777887
createdDateTime,effectiveTime.institutionSpecified,1.1551687
representation,text.representation,1.0484773
strength,translation.value,1.0609552
comment,paragraph.@value,1.107813
total,translation.value,1.1279619
postalCode,postalCode.@value,0.97292536
name,name.@value,0.97292536
deviceIdentifier,translation.type,1.1416228
derivation,translation.value,1.0987681
occurrenceDateTime,effectiveTime.institutionSpecified,1.2606932
fixedCode,translation.code,0.9889977
resourceType,translation.type,0.73814285
documentation,family.qualifier,1.0984378
source,reference.value,1.0429597
active,family.qualifier,1.1343659
format,translation.type,1.093233
end,period.value,1.2756141
nameUrl,translation.displayName,1.4340812
multipleOr,given.qualifier,1.4141862
patchFormat,translation.type,1.3796858
recorded,given.qualifier,1.1495967
title,title.@value,0.97292536
license,family.qualifier,1.1777191
key,reference.value,1.226863
fhirVersion,td.@value,2.163198
multipleAnd,family.qualifier,1.1421921
modelNumber,translation.type,1.1146125
description,text.representation,1.06502
valueBoolean,reference.value,1.0008181
latitude,translation.value,1.2207917
use,addr.use,0.7006364
packageId,id.extension,0.73578954
url,reference.value,1.4933841
severity,translation.value,1.2323369
version,text.representation,1.0864083
lotNumber,sequenceNumber.value,1.4440463
date,given.qualifier,1.2194349
country,country.@value,0.97292536
doc_id,templateId.extension,1.2927291
state,state.@value,0.97292536
op,translation.type,2.000414
identity,family.qualifier,1.0377458
manufacturer,family.qualifier,1.091468
data,translation.value,1.109607
property,family.qualifier,1.0056653
kind,translation.type,1.0030906
label,family.qualifier,1.2446616
comparator,family.qualifier,1.1721936
suffix,suffix.qualifier,0.7333375
fullUrl,linkHtml.@value,1.6890787
min,family.qualifier,1.7633672
authoredOn,given.qualifier,1.7345839
performedDateTime,effectiveTime.institutionSpecified,1.1853353
primarySource,reference.value,1.1648769
birthDate,birthTime.type,1.3224306
instantiates,family.qualifier,1.1328542
start,family.qualifier,1.1908798
isModifier,family.qualifier,1.0641344
family,family.qualifier,0.7333376
hash,translation.value,1.3955725
expirationDate,period.value,1.377546
uri,translation.value,1.4480325
valueString,reference.value,0.8629889
numberOfRepeatsAllowed,inFulfillmentOf.typeCode,1.8595948
payloadMimeType,performer.typeCode,1.6524677
serialNumber,sequenceNumber.value,1.2398841
meaningWhenMissing,given.@value,1.3792889
longitude,translation.value,1.2443345
contentType,translation.value,1.0942174
div,table.cellpadding,1.6026243
mode,translation.type,1.1102061
valueMarkdown,reference.value,0.7851961
dueDate,effectiveTime.alignment,1.605393
path,country.@value,1.263464
valueUri,prefix.@value,1.2459257
targetProfile,reference.value,1.23984
valueCode,value.code,0.0
base,country.@value,1.1604722
xpath,family.qualifier,1.1633235
recordedDate,given.qualifier,1.3273209
count,translation.value,1.1779618
condition,family.qualifier,1.0939466
lastUpdated,given.qualifier,1.2756219
unit,quantity.unit,0.77370816
given,given.qualifier,0.7333375
questionnaire,family.qualifier,1.1908835
effectiveDateTime,effectiveTime.institutionSpecified,1.0214343
relation,family.qualifier,1.0045295
rules,family.qualifier,1.2413882
address,family.qualifier,1.1484499
status,family.qualifier,1.0972517
generation,family.qualifier,1.0687243
issued,given.qualifier,1.1874558
entryType,translation.type,0.9015253
instance,family.qualifier,1.0731794
creation,text.representation,1.1522257
abatementDateTime,effectiveTime.institutionSpecified,1.3209676
versionId,content.ID,0.74796736
exampleBoolean,translation.type,1.1847175
authored,family.qualifier,1.2090175
max,paragraph.@value,1.4158016
searchInclude,addr.use,1.2861224
purpose,family.qualifier,1.1400136
city,city.@value,0.97292536
carrierHRF,td.@value,3.2142544
sliceName,name.@value,1.1237127
publisher,family.qualifier,1.1403805
ordered,family.qualifier,1.2063131
implementationGuide,translation.type,1.2626632
supportedProfile,reference.value,1.1325016
alias,family.qualifier,1.249032
intent,family.qualifier,1.1503885
valueDecimal,reference.value,0.97427493
contentReference,reference.value,0.8445262
type,translation.type,0.59182703
definition,family.qualifier,1.0536311
line,paragraph.@value,1.1121407
id,id.extension,0.66386306
profile,family.qualifier,1.090839
xpathUsage,td.@value,2.8068707
reportedBoolean,given.qualifier,1.2114033
caseSensitive,given.qualifier,1.2116569
valueInteger,quantity.value,0.9340326
copyright,translation.value,1.1875874
